"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 14:26:31 GMT 2023","Thu Jul 13 14:26:44 GMT 2023","13002","","Testing telnyx with webdriverIO","","","","TX_007 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields, form opened via link from the ""SMS API"" page",""
"passed","Thu Jul 13 14:27:12 GMT 2023","Thu Jul 13 14:27:19 GMT 2023","6684","","Testing telnyx with webdriverIO","","","","TX_012 Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data",""
"passed","Thu Jul 13 14:26:22 GMT 2023","Thu Jul 13 14:26:31 GMT 2023","8860","","Testing telnyx with webdriverIO","","","","TX_007 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields, form opened via link from the ""SMS API"" page",""
"passed","Thu Jul 13 14:24:41 GMT 2023","Thu Jul 13 14:25:00 GMT 2023","18620","","Testing telnyx with webdriverIO","","","","TX_001 Check ""Number pricing"" form changes depending on selected option in ""Pay as you go"" dropdown on ""Numbers pricing"" page",""
"passed","Thu Jul 13 14:25:26 GMT 2023","Thu Jul 13 14:25:43 GMT 2023","17742","","Testing telnyx with webdriverIO","","","","TX_003 Test the ""Contact Us"" form with positive scenario, form opened via link from the Global Numbers page",""
"passed","Thu Jul 13 14:26:15 GMT 2023","Thu Jul 13 14:26:31 GMT 2023","16099","","Testing telnyx with webdriverIO","","","","TX_006 Test ""See use cases"" and ""See industries"" buttons functionality on ""Solutions"" page",""
"passed","Thu Jul 13 14:28:03 GMT 2023","Thu Jul 13 14:28:13 GMT 2023","10429","","Testing telnyx with webdriverIO","","","","TX_015 Test Sign In form from Sign Up page with negative scenario when all fields are left empty",""
"passed","Thu Jul 13 14:28:31 GMT 2023","Thu Jul 13 14:28:40 GMT 2023","9584","","Testing telnyx with webdriverIO","","","","TX_017 Chech that ""Support Center"" link navigate to ""Support Center"" page from the ""Contact us"" page",""
"passed","Thu Jul 13 14:25:53 GMT 2023","Thu Jul 13 14:26:09 GMT 2023","15721","","Testing telnyx with webdriverIO","","","","TX_005 Test the ""Become a Telnyx Partner"" form with positive scenario, form opened via link from the Partnerships page",""
"passed","Thu Jul 13 14:26:44 GMT 2023","Thu Jul 13 14:26:50 GMT 2023","5890","","Testing telnyx with webdriverIO","","","","TX_008 Chech that ""Mission Control"" link navigate to ""Mission Control"" page from the ""Why Telnyx"" dropdown",""
"passed","Thu Jul 13 14:25:50 GMT 2023","Thu Jul 13 14:26:00 GMT 2023","9407","","Testing telnyx with webdriverIO","","","","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page",""
"passed","Thu Jul 13 14:26:56 GMT 2023","Thu Jul 13 14:27:04 GMT 2023","8134","","Testing telnyx with webdriverIO","","","","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page",""
